org_id,team_name,conference,division,vendor,conference_url,team_url,vendor_confidence,last_verified_utc,notes
594089,Franklin Pierce,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://fpuravens.com/sports/mens-lacrosse,low,,
546947,Le Moyne,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://lemoynedolphins.com/sports/mens-lacrosse,low,,
594102,Pace,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://paceuathletics.com/sports/mens-lacrosse,low,,
594207,Saint Michael's,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://smcathletics.com/sports/mens-lacrosse,low,,
571479,Saint Rose,NE10,D2,unknown,https://northeast10.org/sports/mlax,,low,,Institution closed 2024
594099,Southern N.H.,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://snhupenmen.com/sports/mens-lacrosse,low,,
594201,St. Anselm,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://saintanselmhawks.com/sports/mens-lacrosse,low,,
594194,Alabama Huntsville,Peach Belt,D2,unknown,https://peachbeltconference.org/sports/mlax,https://uahchargers.com/sports/mens-lacrosse,low,,
594216,Flagler,Peach Belt,D2,unknown,https://peachbeltconference.org/sports/mlax,https://flaglerathletics.com/sports/mens-lacrosse,low,,
594190,Lander,Peach Belt,D2,unknown,https://peachbeltconference.org/sports/mlax,https://landerbearcats.com/sports/mens-lacrosse,low,,
594174,Montevallo,Peach Belt,D2,unknown,https://peachbeltconference.org/sports/mlax,https://montevallofalcons.com/sports/mens-lacrosse,low,,
594209,Adams St.,RMAC,D2,unknown,https://rmacsports.org/sports/mlax,https://asugrizzlies.com/sports/mens-lacrosse,low,,
594244,Colorado Mesa,RMAC,D2,unknown,https://rmacsports.org/sports/mlax,https://cmumavericks.com/sports/mens-lacrosse,low,,
571483,CSU Pueblo,RMAC,D2,unknown,https://rmacsports.org/sports/mlax,https://gothunderwolves.com/sports/mens-lacrosse,low,,
594224,CUI,RMAC,D2,unknown,https://rmacsports.org/sports/mlax,https://cuigoldeneagles.com/sports/mens-lacrosse,low,,
594228,Dominican (CA),RMAC,D2,unknown,https://rmacsports.org/sports/mlax,https://dominicanathletics.com/sports/mens-lacrosse,low,,
594172,Westminster (UT),RMAC,D2,unknown,https://rmacsports.org/sports/mlax,https://westminstergriffins.com/sports/mens-lacrosse,low,,
594107,Anderson (SC),SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://autrojans.com/sports/mens-lacrosse,low,,
