academic_year,division,org_id,schedule_difficulty_score,schedule_difficulty_rank,wins,losses,ties,games_played,wp,opp_wp,opp_opp_wp,rpi,team_name,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage,sos_avg_opp_win_pct,sos_avg_opp_offense,sos_avg_opp_defense,sos_std_opp_win_pct,sos_stats_rank
2014,1,103556,0.4406064582250466,54,4,24,0,28,0.1428571428571428,0.4405514128728415,0.438104889373882,0.3655162144941769,VMI,ASUN,2-12,2.64,9.07,0.801,0.442,29.5,0.609,0.256,,8.86,11.5,12.43,-6.21,6.21,0.215,18.29,0.143,0.44071428571428567,14.946428571428571,10.299285714285713,0.186892416941416,54
2014,1,103554,0.3566911296380928,66,10,16,0,26,0.3846153846153846,0.3561539704639252,0.4783993988485493,0.3938306810979461,Vermont,America East,5-8,5.85,10.15,0.825,0.427,32.46,0.746,0.35,,15.92,11.38,11.0,-0.92,10.08,0.254,18.08,0.385,0.3563076923076923,14.803846153846155,11.333846153846155,0.16702021278662635,66
2014,1,103555,0.5652411997844625,6,12,20,0,32,0.375,0.5706873884844086,0.5226990830490763,0.5097684650044734,Villanova,Big East,6-10,5.25,9.75,0.815,0.493,30.5,0.719,0.343,,14.69,10.13,10.25,-0.81,9.44,0.263,15.69,0.375,0.5652857142857143,16.779285714285713,9.750714285714285,0.17691015822058564,8
2014,1,103557,0.5895350278460437,4,20,12,0,32,0.625,0.6006820436507936,0.5365306761573052,0.5907236908647231,Virginia,ACC,10-6,7.69,9.56,0.851,0.472,37.75,0.551,0.526,,20.31,9.88,11.13,1.5,12.63,0.308,12.06,0.625,0.5899285714285714,17.315,9.82214285714286,0.23655849904281132,4
2014,1,103558,0.38260860155517346,61,4,22,0,26,0.1538461538461538,0.3813230321714485,0.4350098848912558,0.3378755257700767,Wagner,NEC,2-11,3.38,10.23,0.804,0.414,27.92,0.627,0.141,,10.31,12.31,12.38,-5.46,6.92,0.233,18.23,0.154,0.3813846153846154,13.969230769230771,10.658461538461541,0.21602333864709314,61
2014,1,103559,0.5400159615061642,17,18,10,0,28,0.6428571428571429,0.5439804126778917,0.5151071201547099,0.5614812720919091,Yale,Ivy League,9-5,6.57,7.29,0.87,0.579,29.5,0.698,0.368,,17.07,9.0,8.57,1.93,10.5,0.284,15.21,0.643,0.5406153846153846,16.48923076923077,10.256153846153845,0.18974336451823084,17
2014,2,103584,0.4456211152470233,43,4,8,0,12,0.3333333333333333,0.4487654320987654,0.4759964550552317,0.4267151631465239,Adams St.,Independent,4-8,,10.08,,,,0.725,,,,,,,,,16.0,0.3333333333333333,0.4455555555555556,19.25,8.5,0.2677155298787719,43
2014,2,103561,0.5228492886271014,23,17,2,0,19,0.8947368421052632,0.5408118161794632,0.541528468408243,0.6294722357181081,Adelphi,NE10,17-2,6.26,7.58,,0.657,38.21,,,,19.58,,8.47,4.84,13.32,0.275,16.11,0.895,0.5232485958485957,19.25,7.8475,0.18856424903232688,23
2014,2,103585,0.5099073395758945,29,0,14,0,14,0.0,0.5098155050078128,0.4607687413742615,0.3700999378474717,Alderson Broaddus,ECAC-II,0-14,,7.29,,,,,,,,16.29,,,,,,0.0,0.5098142370450064,18.598750000000003,7.511999999999999,0.20905858388436632,29
2014,2,103562,0.4908883718320607,33,2,14,0,16,0.125,0.4906218054023228,0.4932444297747473,0.3998720101448482,American Int'l,NE10,2-14,5.5,,,,,,,,,14.75,,,,0.282,,0.125,0.4906847200418629,18.143333333333334,8.222857142857142,0.21398140768675736,33
2014,2,103563,0.47277059904905977,38,5,9,0,14,0.3571428571428571,0.4727704769232514,0.512828308291308,0.453878029820167,Assumption,NE10,5-9,5.64,,,0.566,31.07,,,,,,,,,,,0.3571428571428571,0.472847280924204,18.913999999999998,8.135,0.24409782493514848,39
2014,2,103596,0.5039431521836563,31,6,10,0,16,0.375,0.5332767722473605,0.5351153348674357,0.4941672198405391,Belmont Abbey,Conference Carolinas,6-10,,9.19,,,,,,,15.69,,,,,0.281,15.56,0.375,0.5035005232862375,19.96,7.43,0.28788164826913365,31
2014,2,103564,0.5315766561307629,20,8,7,0,15,0.5333333333333333,0.5530809996063202,0.5252232642792565,0.5411796492063075,Bentley,NE10,8-7,,7.4,,,,0.765,0.364,,,11.4,8.2,,,,,0.5333333333333333,0.5318940781440782,18.970000000000002,7.956666666666666,0.2265034196689427,20
2014,2,103610,0.43049682575160225,47,3,10,0,13,0.2307692307692307,0.4300136138371432,0.4955893552246194,0.3965964534170341,Brevard,SAC,3-10,,,,,,0.812,,,,16.23,,,,0.281,14.46,0.2307692307692307,0.42999833499833495,19.10285714285714,8.07,0.1893941532921547,47
