academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage
2015,2,Ohio Valley,15207,,0-15,3.53,6.8,0.745,0.35,22.93,0.583,0.169,,10.33,14.0,15.73,,6.8,0.268,23.4,0.0
2015,2,Dist. Columbia,186,,2-9,3.55,7.45,0.727,0.563,39.55,0.573,0.283,,12.45,13.0,16.91,,8.91,0.251,24.18,0.182
2015,2,Lynn,20794,,7-7,6.29,7.86,0.87,0.538,32.29,0.609,0.412,,17.21,10.0,10.29,,10.93,0.313,14.07,0.5
2015,2,Chestnut Hill,21323,,6-7,4.77,6.46,0.798,0.38,26.0,0.645,0.397,,14.38,11.77,10.23,,9.62,0.275,16.31,0.462
2015,2,American Int'l,22,,2-13,3.33,6.6,0.772,0.38,25.4,0.639,0.278,,9.8,14.6,14.4,,6.47,0.255,22.73,0.133
2015,2,Florida Tech,230,,12-4,6.63,8.63,0.873,0.61,37.25,0.776,0.372,,19.06,10.5,9.19,3.25,12.44,0.277,17.56,0.75
2015,2,Fla. Southern,233,,6-8,7.43,8.29,0.817,0.557,37.5,0.484,0.449,,20.21,12.07,12.57,,12.79,0.27,16.93,0.429
2015,2,Franklin Pierce,241,,12-4,5.44,8.25,0.818,0.404,27.25,0.775,0.25,,15.88,12.56,8.5,,10.44,0.285,17.44,0.75
2015,2,Belmont Abbey,2683,,11-5,6.19,7.81,0.861,0.463,29.81,0.722,0.429,,18.81,10.56,9.0,3.63,12.63,0.322,17.06,0.688
2015,2,Dowling,2692,,5-8,3.46,6.92,0.824,0.542,28.69,0.667,0.34,,13.08,10.77,10.92,,9.62,0.288,17.15,0.385
2015,2,CSU Pueblo,2720,,0-10,4.0,6.5,0.672,0.421,28.6,,0.255,,11.6,10.8,,,7.6,0.309,,0.0
2015,2,Lake Erie,2746,,15-3,6.06,11.17,0.881,0.355,26.28,0.674,0.302,,17.22,8.89,7.33,3.83,11.17,0.321,13.78,0.833
2015,2,Adelphi,3,,15-3,8.94,8.94,0.843,0.688,38.28,0.75,0.414,,23.94,10.89,8.89,6.11,15.0,0.315,16.83,0.833
